, ,q,w,e,r,t,y,u,i,o,p,a,s,d,f,g,h,j,k,l,;,z,x,c,v,b,n,m,",",.,/
 ,15937855105,195056067,4638390461,2142108028,2441597601,12164315875,1419308295,1082442504,5818450349,5175262739,3609974777,9723964798,6275625317,2689096201,3550975298,1602355450,3157969933,545400361,513557968,2178811259,127554326,53324841,43133870,4503957900,734419479,3711548876,1714686100,3382514806,364321229,487834644,82095753
q,12729312,308002,586402,483314,712697,712811,80559,398639889,3161208,442164,331613,3356552,1014225,247331,378732,131093,214962,73294,67556,2395416,2029800,62139,148086,575537,326664,901753,203637,496761,1279180,3102101,179144
w,735642677,152266,34394960,1200604260,98351248,18572520,11245058,2802268,1397116725,724395595,3836578,1123119977,147429205,14630408,5646757,1367278,1028067670,519076,5473295,41408226,5315238,230979,590245,6836958,665506,7480195,257105745,5159698,45815642,59178499,5096569
e,14173780185,124260298,438822834,1269199466,5990121323,1428979217,480627274,84028497,498873622,259838818,503510118,2446399161,4014507373,3114794742,418748682,358870886,85159356,10727065,103670454,1674178575,81279654,22949237,618238202,1405119457,799662353,171901976,4047938721,1036482743,577117103,633023273,43060107
r,4779852666,3610747,46903733,5627498048,331049184,1152100849,738102641,398089598,2114390049,2282494098,111029769,1964067169,1364379829,581698962,119702852,299668557,36783680,2772281,394481384,253672724,26552901,3996818,2346133,348277225,225298693,79551605,474448681,458226263,270173764,250495572,17826238
t,7219757124,785022,226215572,3603683062,1227590455,565565952,655691134,711080257,3656488191,3590115338,36290615,1667170678,1103715338,16040547,36721015,10268680,9315790720,1303852,3412244,286514610,37454982,14620446,3090679,153164222,17463865,26616103,52871182,101742217,327482033,369838781,33316847
y,4247515037,213865,23514033,377423552,28950845,64983155,1326500,10330095,110705340,1221140262,74465614,71691085,325746688,22916734,5677637,7111841,2803065,562925,2338513,64518150,27595931,5736277,701233,39880045,1818504,33584539,41258663,64186455,335055617,281102415,19420623
u,747332488,1444774,2489845,424930068,1928762782,1346985955,49131624,4119363,336913221,24420754,503113029,373351272,1507931595,310373477,57244607,380317204,6030171,3318369,32315966,926254694,1854100,11379897,15327775,506428495,11160422,242383645,1228195690,393723624,18605709,47606041,4821452
i,865329046,38816988,4549773,1134528986,942738458,3480571544,6386627,42674301,26198568,2060682787,318057773,797529249,3143530515,1017993350,625397503,844882856,8143718,9159751,231695655,1585713692,4263373,195146947,65802275,1966176205,825636623,241884795,7753130124,885933219,27176217,22504838,2621635
o,3649069754,2199836,1125725016,129457623,4110770057,1264281278,122660876,3481316977,319762408,887912101,772333739,239467674,880006253,612713963,2448393832,322617259,61403092,45720709,305513645,1063005142,10055384,17558164,60924550,491498088,656187478,273063988,4997169278,1803361082,83721339,74405402,7255502
